2023/03/02 10:44:12;USD;k;1.0;0.23;4.4209
2023/03/02 10:44:13;USD;k;2.0;0.45;4.4209
2023/03/02 10:44:17;USD;s;3.0;13.0;4.3333
2023/03/02 10:44:19;USD;s;1.0;4.33;4.3333
2023/03/02 10:57:31;CAD;k;3.0;0.92;3.2476
2023/03/02 10:58:05;JPY;k;3.0;92.32;0.032496
2023/03/02 11:01:34;USD;k;123123.0;27850.21;4.4209
2023/03/02 11:01:36;JPY;k;1231232.0;3.788872477E7;0.032496
2023/03/02 11:01:55;JPY;k;1231232.0;3.788872477E7;0.032496
2023/03/02 11:01:57;JPY;k;42.0;1292.47;0.032496
2023/03/02 11:01:58;JPY;k;421.0;12955.44;0.032496
2023/03/02 11:02:00;GBP;k;4212.0;793.04;5.3112
2023/03/02 11:02:15;GBP;k;2.0;0.38;5.3112
2023/03/02 11:29:01;EUR;k;2.0;0.42;4.7158
2023/03/02 11:29:47;USD;k;1.0;0.23;4.4209
2023/03/03 13:14:08;USD;k;3.0;0.67;4.4691
2023/03/03 13:16:17;USD;k;3.0;0.67;4.4691
